index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology
7627,positive,4,0,1,0,1,1,0,0
3684,negative,1,1,1,0,0,1,1,1
4505,negative,1,0,0,1,0,0,0,0
16554,positive,4,1,0,1,1,0,0,0
2744,negative,2,1,0,0,0,1,1,0
285,negative,1,0,0,1,0,0,0,0
2834,positive,5,1,0,1,0,0,0,0
3030,negative,1,0,0,0,1,1,0,0
3434,positive,4,0,1,1,0,1,1,0
10868,positive,4,0,1,1,1,1,1,1
1533,positive,5,0,0,0,1,0,0,0
5324,positive,5,0,0,0,1,1,1,1
4855,positive,5,0,0,1,0,0,0,0
4223,negative,1,1,0,1,1,1,0,0
9353,negative,1,1,0,1,0,0,1,0
1275,negative,2,0,0,0,1,1,1,1
6455,positive,4,0,0,0,0,0,1,0
357,positive,4,0,0,1,0,0,1,0
1876,neutral,3,0,0,0,0,0,0,1
1321,positive,5,0,0,1,0,0,0,0
3584,positive,4,1,0,0,0,0,0,0
19113,positive,5,1,0,0,1,1,1,0
4,negative,2,0,0,1,1,1,1,1
2931,negative,2,1,1,1,1,1,1,1
1504,positive,3,1,1,0,0,0,0,0
4843,positive,4,1,1,1,1,0,1,0
11731,negative,1,1,0,0,0,0,0,0
1977,neutral,3,1,0,0,1,1,0,0
2402,positive,5,0,0,1,1,1,0,1
5172,positive,5,1,1,1,1,1,1,0
622,positive,5,0,0,1,1,1,0,1
9007,positive,5,1,1,1,1,1,1,0
12317,positive,5,0,1,1,1,1,0,0
6592,positive,4,1,1,1,1,1,1,0
16867,positive,5,1,1,1,1,1,1,1
5575,neutral,3,1,0,1,1,1,1,0
3651,positive,5,1,1,0,1,0,0,0
10733,negative,2,0,0,0,0,1,0,0
6912,negative,1,1,0,1,0,0,0,0
631,negative,2,0,0,1,1,0,0,0
5430,positive,5,1,0,0,0,0,0,0
1905,positive,5,1,0,0,1,0,0,0
6437,positive,4,1,0,0,0,1,1,1
4121,positive,5,1,0,1,1,1,0,0
774,neutral,4,0,0,1,0,0,0,0
11173,positive,5,1,1,1,1,1,0,0
12888,negative,2,1,1,1,0,0,1,0
3292,negative,1,1,0,0,0,0,0,1
2726,positive,4,0,0,1,1,1,0,0
2132,positive,5,0,0,0,0,0,0,1
12250,positive,4,1,1,1,1,1,0,0
8038,positive,5,1,1,1,1,1,1,0
3034,positive,5,1,0,1,0,0,1,0
8698,positive,4,0,0,0,1,1,1,0
4667,positive,5,0,0,1,0,1,0,1
1213,neutral,3,0,0,1,1,0,0,0
3317,positive,5,0,1,1,1,0,0,0
5781,positive,5,1,1,1,1,0,0,0
3423,positive,4,1,0,1,0,1,0,0
667,positive,5,1,0,0,1,1,1,0
2571,positive,5,1,0,1,1,1,1,1
12534,negative,2,0,0,0,0,0,1,0
129,positive,5,0,1,1,1,1,0,1
3317,neutral,3,0,0,0,0,0,0,0
169,positive,5,0,0,1,0,1,0,0
1786,positive,5,0,0,1,0,0,0,0
7605,negative,2,0,0,0,0,0,1,0
7039,neutral,3,1,1,1,1,1,1,1
2878,positive,4,0,0,1,1,1,0,1
435,positive,4,1,0,1,1,0,1,1
1378,positive,4,0,0,1,1,0,1,0
12272,negative,1,1,0,0,0,0,0,0
3408,positive,4,1,1,1,0,1,1,0
1627,positive,5,0,0,1,0,1,1,0
3876,positive,5,1,0,1,0,1,1,1
15224,negative,1,1,0,0,0,0,0,1
12331,positive,4,0,1,1,0,0,0,0
566,positive,5,0,0,1,0,0,0,0
7449,positive,4,0,1,1,1,1,1,0
12088,negative,1,0,0,0,0,0,0,0
4971,positive,5,1,0,0,0,0,0,0
15816,positive,4,1,1,1,1,1,1,1
7435,negative,1,1,0,0,0,0,0,1
7469,positive,5,1,0,1,0,0,0,0
460,positive,4,1,0,1,1,1,1,0
645,positive,5,1,0,1,1,1,0,0
1864,positive,5,1,0,0,0,0,0,0
1029,neutral,3,0,0,0,0,0,0,1
9668,positive,4,0,0,1,0,0,1,0
3930,negative,2,0,0,1,0,0,0,1
3373,positive,4,1,0,0,1,1,0,1
3125,positive,5,1,1,1,0,0,0,0
10459,positive,4,0,1,0,1,1,0,0
2158,positive,5,1,1,1,1,1,1,0
18685,negative,1,0,0,0,0,0,0,0
8069,positive,4,0,0,1,1,0,1,1
2064,negative,1,1,0,0,0,1,0,0
8194,negative,1,1,0,1,0,0,0,1
2684,positive,4,0,0,1,0,0,0,0
8485,positive,5,1,0,0,0,0,0,0
5478,positive,4,1,0,0,0,0,0,0
4734,positive,5,1,1,1,1,1,0,1
6653,positive,4,0,1,1,0,1,0,1
12606,positive,4,0,0,0,0,0,1,0
18878,negative,1,0,0,0,0,1,0,0
43,negative,1,1,0,0,0,1,0,0
7156,positive,5,1,0,0,0,0,0,0
18843,negative,2,1,0,1,1,0,1,0
2088,negative,1,1,0,1,0,0,0,0
5695,positive,5,1,0,0,0,0,0,0
3540,positive,5,1,0,1,0,0,1,0
645,negative,1,0,0,0,0,1,0,0
