index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology,batch
62,positive,5,1,0,1,1,0,1,0,1
183,negative,1,1,0,0,0,0,0,0,1
230,neutral,3,0,1,1,1,1,1,0,1
251,negative,1,0,1,0,0,1,0,1,1
281,positive,5,0,1,0,1,0,1,0,1
308,positive,5,0,1,0,1,1,1,0,1
312,positive,4,0,0,1,0,1,1,1,1
340,positive,5,0,0,1,1,1,1,0,1
396,negative,1,1,0,0,0,0,0,0,1
454,negative,1,1,0,0,0,0,0,1,1
475,positive,4,0,0,1,1,1,0,1,1
477,negative,2,0,0,0,0,1,0,0,1
609,positive,5,1,1,0,0,0,0,0,1
642,positive,4,0,0,1,0,0,1,0,1
650,positive,5,0,0,1,1,1,1,1,1
670,positive,4,0,0,1,0,1,1,1,1
698,negative,1,1,0,1,0,0,1,1,1
713,negative,1,1,0,0,0,0,0,1,1
727,negative,1,1,0,0,0,0,0,0,1
731,negative,1,1,0,1,0,0,0,1,1
782,positive,4,1,0,1,1,1,1,0,1
788,positive,5,1,0,0,0,1,1,0,1
802,positive,5,0,0,1,0,0,0,0,1
824,positive,4,1,0,1,0,1,0,1,1
880,negative,2,1,0,1,1,1,0,1,1
923,positive,5,0,0,1,0,1,0,1,1
966,positive,5,0,0,1,0,0,0,0,1
1008,positive,4,1,0,0,0,0,0,0,1
1038,positive,4,0,0,1,0,1,0,0,1
1066,positive,5,1,1,1,0,0,1,0,1
1082,positive,4,1,0,0,0,0,1,0,1
1158,positive,5,1,1,1,0,0,1,0,1
1192,positive,5,1,1,0,0,0,0,0,1
1232,positive,5,1,1,1,1,1,1,0,1
1235,positive,4,1,0,1,0,0,1,0,1
1350,positive,4,0,0,1,0,0,0,0,1
1374,positive,4,1,0,1,1,1,1,1,1
1385,positive,4,1,0,1,1,0,1,0,1
1402,positive,4,1,0,1,0,0,0,0,1
1403,neutral,3,1,1,1,1,1,0,0,1
1440,positive,4,1,0,1,0,1,1,0,1
1462,positive,5,1,0,1,0,1,1,1,1
1488,positive,5,1,0,1,0,0,0,0,1
1494,positive,5,0,0,1,0,0,0,0,1
